ROI,Index,Voxels,PET_mean,Z_mean
3rd Ventricle,4,66,0.6906283300590921,-1.1532834768295288
4th Ventricle,11,97,0.6962421592016227,-1.13235604763031
Right Accumbens Area,23,71,1.2571706597925898,0.9586870670318604
Left Accumbens Area,30,82,1.1978423667599847,0.7375216484069824
Right Amygdala,31,147,0.7750366877232815,-0.8386238217353821
Left Amygdala,32,146,0.6939245591011438,-1.1409956216812134
Brain Stem,35,493,0.7007011707165534,-1.1157335042953491
Right Caudate,36,512,1.1809690736933969,0.6746209859848022
Left Caudate,37,498,1.222100851862935,0.827953040599823
Right Cerebellum Exterior,38,7872,0.8596520953867064,-0.5231924057006836
Left Cerebellum Exterior,39,7864,0.8692173105420017,-0.48753494024276733
Right Cerebellum White Matter,40,460,0.7716724461069806,-0.8511651158332825
Left Cerebellum White Matter,41,493,0.776642328770173,-0.8326382637023926
Right Cerebral White Matter,44,11093,1.007406592780902,0.027610477060079575
Left Cerebral White Matter,45,11559,0.9528709286172979,-0.17568892240524292
Right Hippocampus,47,604,0.7944585237509642,-0.7662225961685181
Left Hippocampus,48,529,0.6612589499247962,-1.2627673149108887
Right Lateral Ventricle,51,471,0.6467909906812882,-1.3167012929916382
Left Lateral Ventricle,52,529,0.5965744263728557,-1.5038998126983643
Right Putamen,57,700,1.5016169568182458,1.869940161705017
Left Putamen,58,716,1.4922145494936236,1.8348896503448486
Right Thalamus Proper,59,684,1.1064165277259983,0.39670220017433167
Left Thalamus Proper,60,729,1.0714463286032876,0.26633939146995544
Right Ventral DC,61,203,0.6582986787522682,-1.273802638053894
Left Ventral DC,62,228,0.6559248262134929,-1.2826519012451172
Cerebellar Vermal Lobules I-V,71,755,0.8151467593767375,-0.6891005039215088
Cerebellar Vermal Lobules VI-VII,72,319,0.8249377192472406,-0.6526015400886536
Cerebellar Vermal Lobules VIII-X,73,457,0.9159384947439511,-0.3133665919303894
Right Basal Forebrain,76,58,0.7627736155100667,-0.88433837890625
Right ACgG anterior cingulate gyrus,100,622,1.0732461066373364,0.27304866909980774
Left ACgG anterior cingulate gyrus,101,805,1.0293895422828456,0.1095590591430664
Right AIns anterior insula,102,693,1.0138571609539677,0.051657065749168396
Left AIns anterior insula,103,701,0.9610658643944219,-0.1451396495103836
Right AOrG anterior orbital gyrus,104,289,1.2403727539542815,0.8960675001144409
Left AOrG anterior orbital gyrus,105,267,1.1469082662046917,0.5476482510566711
Right AnG angular gyrus,106,1547,1.1873904700635698,0.6985588669776917
Left AnG angular gyrus,107,1222,1.1433442912256397,0.5343623757362366
Right Calc calcarine cortex,108,508,1.2420038206157986,0.9021478891372681
Left Calc calcarine cortex,109,571,1.252169506791137,0.9400436878204346
Right CO central operculum,112,614,1.0901625761615878,0.33611029386520386
Left CO central operculum,113,636,1.0489490421200236,0.18247345089912415
Right Cun cuneus,114,584,1.1576165404866912,0.5875668525695801
Left Cun cuneus,115,614,1.1657231069686502,0.617786705493927
Right Ent entorhinal area,116,279,0.7165664189410209,-1.0565907955169678
Left Ent entorhinal area,117,289,0.6119495579992202,-1.4465841054916382
Right FO frontal operculum,118,298,1.1346389004858313,0.5019102692604065
Left FO frontal operculum,119,287,1.1429884123590415,0.5330357551574707
Right FRP frontal pole,120,484,1.0309826956312242,0.11549805849790573
Left FRP frontal pole,121,407,0.9487574592622917,-0.19102320075035095
Right FuG fusiform gyrus,122,1194,1.0090298067722503,0.033661533147096634
Left FuG fusiform gyrus,123,1232,0.8072962028639848,-0.7183660268783569
Right GRe gyrus rectus,124,354,1.075304280100687,0.28072118759155273
Left GRe gyrus rectus,125,310,1.0214803166364093,0.08007486164569855
Right IOG inferior occipital gyrus,128,845,1.0980433536823992,0.3654884397983551
Left IOG inferior occipital gyrus,129,935,0.9953627241405002,-0.01728695072233677
Right ITG inferior temporal gyrus,132,1681,1.01554498465147,0.05794898793101311
Left ITG inferior temporal gyrus,133,1709,0.8123898757826282,-0.6993776559829712
Right LiG lingual gyrus,134,1275,1.0974262814988116,0.36318811774253845
Left LiG lingual gyrus,135,1223,1.0511376134435548,0.19063207507133484
Right LOrG lateral orbital gyrus,136,297,1.1588649047142068,0.5922205448150635
Left LOrG lateral orbital gyrus,137,283,1.1020529176367273,0.38043537735939026
Right MCgG middle cingulate gyrus,138,728,1.1784557012675554,0.665251612663269
Left MCgG middle cingulate gyrus,139,726,1.1474295796361795,0.5495916604995728
Right MFC medial frontal cortex,140,288,1.2110590641461363,0.786791205406189
Left MFC medial frontal cortex,141,273,1.1329076498491666,0.4954564571380615
Right MFG middle frontal gyrus,142,2908,1.2489318348263962,0.9279742240905762
Left MFG middle frontal gyrus,143,2920,1.1953673441847228,0.7282952070236206
Right MOG middle occipital gyrus,144,713,1.1024111385918351,0.3817707896232605
Left MOG middle occipital gyrus,145,845,1.0301547938527993,0.11241178959608078
Right MOrG medial orbital gyrus,146,676,1.0381324640153335,0.1421511322259903
Left MOrG medial orbital gyrus,147,638,1.0104748072280767,0.03904825821518898
Right MPoG postcentral gyrus medial segment,148,94,0.9908066209205182,-0.034271303564310074
Left MPoG postcentral gyrus medial segment,149,85,1.0250330211263041,0.09331871569156647
Right MPrG precentral gyrus medial segment,150,341,1.108810259260966,0.4056255519390106
Left MPrG precentral gyrus medial segment,151,368,1.090920538108033,0.33893585205078125
Right MSFG superior frontal gyrus medial segment,152,1249,1.1203036955860333,0.4484710693359375
Left MSFG superior frontal gyrus medial segment,153,987,1.1100772227094724,0.4103486239910126
Right MTG middle temporal gyrus,154,2293,1.1264723966569405,0.47146695852279663
Left MTG middle temporal gyrus,155,2257,0.9996184640078889,-0.001422282075509429
Right OCP occipital pole,156,443,0.9145542380201023,-0.3185268044471741
Left OCP occipital pole,157,424,0.9130022951620796,-0.3243122100830078
Right OFuG occipital fusiform gyrus,160,569,1.0746610332044557,0.2783232629299164
Left OFuG occipital fusiform gyrus,161,608,1.0216949715627646,0.08087506145238876
Right OpIFG opercular part of the inferior frontal gyrus,162,467,1.2293968068871148,0.8551509976387024
Left OpIFG opercular part of the inferior frontal gyrus,163,479,1.1819580930700098,0.6783078908920288
Right OrIFG orbital part of the inferior frontal gyrus,164,194,1.2039385932289866,0.7602472901344299
Left OrIFG orbital part of the inferior frontal gyrus,165,191,1.1043278844984612,0.38891610503196716
Right PCgG posterior cingulate gyrus,166,625,1.2753890909371033,1.0266023874282837
Left PCgG posterior cingulate gyrus,167,679,1.2396926124018701,0.8935320377349854
Right PCu precuneus,168,1703,1.2618521996847882,0.9761391878128052
Left PCu precuneus,169,1585,1.2261037551743557,0.8428752422332764
Right PHG parahippocampal gyrus,170,426,0.75866795062844,-0.89964359998703
Left PHG parahippocampal gyrus,171,427,0.6772064639048743,-1.203317642211914
Right PIns posterior insula,172,364,0.9893899284838958,-0.039552491158246994
Left PIns posterior insula,173,356,0.9690743378724009,-0.11528545618057251
Right PO parietal operculum,174,322,1.0701362443061655,0.26145562529563904
Left PO parietal operculum,175,396,1.0559688213956258,0.20864197611808777
Right PoG postcentral gyrus,176,1319,1.0506954328388804,0.18898369371891022
Left PoG postcentral gyrus,177,1380,1.0186583556099562,0.06955508887767792
Right POrG posterior orbital gyrus,178,355,1.1140450139877853,0.42513981461524963
Left POrG posterior orbital gyrus,179,370,0.989695613767856,-0.038412950932979584
Right PP planum polare,180,298,0.9087154068056111,-0.34029296040534973
Left PP planum polare,181,339,0.8446195909782548,-0.5792309045791626
Right PrG precentral gyrus,182,1805,1.1676942651267308,0.6251348257064819
Left PrG precentral gyrus,183,1682,1.1419848473112868,0.5292946100234985
Right PT planum temporale,184,260,1.258709318736331,0.9644230604171753
Left PT planum temporale,185,305,1.1193413177193428,0.4448835551738739
Right SCA subcallosal area,186,171,0.8580591619481965,-0.5291305780410767
Left SCA subcallosal area,187,180,0.8164517137040526,-0.6842358708381653
Right SFG superior frontal gyrus,190,2076,1.1743909707818014,0.650098979473114
Left SFG superior frontal gyrus,191,1998,1.0981631412098087,0.3659350275993347
Right SMC supplementary motor cortex,192,758,1.1578267427494298,0.5883504152297974
Left SMC supplementary motor cortex,193,764,1.1456008429458742,0.5427744388580322
Right SMG supramarginal gyrus,194,1157,1.1060746226895155,0.3954276144504547
Left SMG supramarginal gyrus,195,1274,1.0594644805850757,0.2216731756925583
Right SOG superior occipital gyrus,196,466,1.1140075813691013,0.42500030994415283
Left SOG superior occipital gyrus,197,358,1.088439366564745,0.3296864330768585
Right SPL superior parietal lobule,198,1356,1.1305597312686368,0.4867037832736969
Left SPL superior parietal lobule,199,1340,1.043548790305204,0.16234226524829865
Right STG superior temporal gyrus,200,1156,1.0966765167384587,0.36039310693740845
Left STG superior temporal gyrus,201,1073,0.943427765523434,-0.21089139580726624
Right TMP temporal pole,202,1287,0.8663909948073176,-0.49807095527648926
Left TMP temporal pole,203,1282,0.6586178619330018,-1.2726128101348877
Right TrIFG triangular part of the inferior frontal gyrus,204,435,1.1404971260735504,0.5237486362457275
Left TrIFG triangular part of the inferior frontal gyrus,205,376,1.1097589146111975,0.4091619849205017
Right TTG transverse temporal gyrus,206,224,1.3408490064236536,1.270625352859497
Left TTG transverse temporal gyrus,207,263,1.2918830995942017,1.0880889892578125
